TUCASEID,TULINENO,EEINCOME1,ERBMI,ERHHCH,ERINCOME,ERSPEMCH,ERTPREAT,ERTSEAT,ETHGT,ETWGT,EUDIETSODA,EUDRINK,EUEAT,EUEXERCISE,EUEXFREQ,EUFASTFD,EUFASTFDFRQ,EUFFYDAY,EUFDSIT,EUFINLWGT,EUSNAP,EUGENHTH,EUGROSHP,EUHGT,EUINCLVL,EUINCOME2,EUMEAT,EUMILK,EUPRPMEL,EUSODA,EUSTORES,EUSTREASON,EUTHERM,EUWGT,EUWIC,EXINCOME1
20151110151946,1,1,24.7,3,1,-1,25,0,0,0,-1,2,2,1,7,1,1,1,1,  4003317.087088,2,1,1,70,7,-1,1,2,1,-1,1,2,1,172,-1,0
20151110151948,1,1,25.7,3,1,-1,15,10,0,0,1,1,1,1,3,1,1,2,1,  2498984.034221,2,1,1,66,7,-1,1,2,1,1,1,2,2,159,-1,0
20151110151949,1,1,24.3,3,1,5,85,10,0,0,-1,1,1,1,5,1,1,2,1,  9748524.684529,2,1,2,68,7,-1,-1,-1,2,2,-1,-1,-1,160,2,0
20151110151951,1,1,22.8,3,1,5,30,10,0,0,-1,1,1,1,7,2,-1,-1,1,  3966759.484804,2,2,2,68,7,-1,-1,-1,2,2,-1,-1,-1,150,-1,0
20151110151952,1,1,22.6,3,1,5,20,2,0,0,2,1,1,1,7,1,1,2,1,  9942565.362362,2,1,2,66,7,-1,-1,-1,2,1,-1,-1,-1,140,-1,0
20151110151961,1,1,22.1,1,1,5,150,0,0,0,-1,2,2,2,-1,1,4,2,1, 12269760.190475,2,3,1,63,7,-2,1,2,1,-1,1,1,2,125,2,76
20151110151965,1,2,24.7,1,3,-1,30,0,0,0,-1,1,2,1,2,1,1,2,1,  6356797.790477,2,2,1,66,7,1,1,2,1,2,1,3,2,153,-1,0
20151110151970,1,2,29.0,3,3,-1,30,0,0,0,-1,1,2,2,-1,1,1,2,1,  2459932.310666,2,4,1,66,7,1,1,2,1,2,2,1,2,180,-1,0
20151110151972,1,1,-1.0,3,1,-1,60,0,0,-1,-1,1,2,1,5,2,-1,-1,1,  9075271.809156,2,2,1,70,7,-1,1,2,1,2,2,1,2,-3,-1,0
20151110151981,1,1,24.4,1,1,5,80,5,0,0,-1,2,1,1,7,1,1,2,1,  9865629.123221,2,1,1,69,7,-1,-1,-1,2,-1,1,4,-1,165,2,0
20151110151983,1,1,30.2,3,1,-1,0,278,0,0,-1,2,1,2,-1,2,-1,-1,1,  2463185.560034,2,3,1,66,7,-3,1,2,1,-1,2,1,2,187,-1,85
20151110151984,1,1,-1.0,3,1,5,10,25,0,-1,-1,2,1,1,4,2,-1,-1,1, 15845928.129549,2,2,2,68,7,-1,-1,-1,2,-1,-1,-1,-1,-3,-1,0
20151110151990,1,1,42.9,3,1,-1,60,0,0,0,-1,2,2,1,3,1,1,1,1,  5001371.660657,2,3,2,64,7,-2,-1,-1,2,-1,-1,-1,-1,250,2,71
20151110151991,1,1,25.8,3,1,-1,60,0,0,0,-1,1,2,2,-1,1,5,2,1,  5421724.113202,2,3,2,70,7,-1,-1,-1,2,2,-1,-1,-1,180,-1,0
20151110151995,1,1,31.0,1,1,5,210,0,0,0,-1,1,2,1,4,2,-1,-1,1,  8834512.130719,2,1,3,69,7,-1,1,2,3,2,1,2,1,210,-1,0
20151110151998,1,1,-1.0,3,1,-1,120,65,0,-1,-1,2,1,1,5,1,1,1,1, 10523958.378701,1,2,2,63,7,-1,-1,-1,2,-1,-1,-1,-1,-5,2,0
20151110151999,1,1,31.2,3,1,5,0,30,0,0,1,1,1,2,-1,1,6,2,1,  9002698.778047,2,4,2,68,7,-1,-1,-1,2,1,-1,-1,-1,205,2,0
20151110152013,1,1,25.8,3,1,5,180,5,0,0,2,1,1,2,-1,1,3,2,1,  3208311.031306,2,3,1,66,7,-1,1,2,1,1,1,1,1,160,2,0
20151110152014,1,2,25.0,3,5,-1,75,0,0,0,-1,1,2,2,-1,1,1,1,1,  7266377.310798,2,2,1,65,7,2,1,2,1,2,1,2,2,150,-1,0
20151110152016,1,1,40.7,3,1,5,30,30,0,0,-1,2,1,1,3,2,-1,-1,1,  2666650.101487,2,3,1,63,7,-1,1,2,1,-1,1,2,2,230,2,0
20151110152017,1,1,-1.0,3,1,-1,45,20,0,-1,2,1,1,1,1,1,10,1,1,  4217336.455863,2,2,2,66,7,-1,-1,-1,2,1,-1,-1,-1,-5,2,0
20151110152018,1,2,24.3,3,3,-1,25,180,0,0,-1,1,1,2,-1,2,-1,-1,1,  6786341.363604,2,2,2,67,7,1,1,2,1,2,-1,-1,2,155,-1,0
